iter	MultiClass
0	1.651478481
1	1.453515052
2	1.300783705
3	1.182280471
4	1.087738606
5	1.010374347
6	0.938740973
7	0.8810996385
8	0.8299981596
9	0.7868882381
10	0.7481766393
11	0.716193922
12	0.6887481337
13	0.6622875771
14	0.6363228917
15	0.6151123756
16	0.5939898344
17	0.5748770909
18	0.5570566364
19	0.5400230769
20	0.5254041653
21	0.5127356809
22	0.5000376782
23	0.4897083586
24	0.4797831795
25	0.4703930638
26	0.461633809
27	0.4543634995
28	0.4472788125
29	0.4409259655
30	0.433504226
31	0.4277324939
32	0.4219151024
33	0.417248798
34	0.4118668177
35	0.4072965216
36	0.4037277244
37	0.3994465969
38	0.395602099
39	0.3918175497
40	0.3878792007
41	0.385373177
42	0.3822919885
43	0.3787612995
44	0.3762755238
45	0.3732743432
46	0.3703976822
47	0.3682090584
48	0.3655632384
49	0.3631844742
50	0.3607192486
51	0.3590538465
52	0.3565317153
53	0.3538200621
54	0.3522731836
55	0.3500435665
56	0.3482489922
57	0.3463514461
58	0.3445056704
59	0.3431743797
60	0.3414113269
61	0.3395763827
62	0.3382247497
63	0.3364824798
64	0.3352705828
65	0.3335320926
66	0.3318857542
67	0.3302624209
68	0.3287707608
69	0.3277557028
70	0.3268973032
71	0.3260669305
72	0.3246787019
73	0.3232602996
74	0.3222086529
75	0.321158865
76	0.3197138345
77	0.3185743314
78	0.3176353181
79	0.316654505
80	0.315238871
81	0.3144567348
82	0.3134094116
83	0.3124728129
84	0.311664519
85	0.3104952731
86	0.3092447835
87	0.3082394637
88	0.307092803
89	0.3062229619
90	0.3055322306
91	0.3046215851
92	0.3037130923
93	0.302763609
94	0.30199185
95	0.3012294631
96	0.3004835916
97	0.299742753
98	0.2986338216
99	0.2979639317
100	0.2974038582
101	0.2966788953
102	0.2959370213
103	0.2951655968
104	0.2941928021
105	0.2935521736
106	0.2929032452
107	0.2922929575
108	0.2915796755
109	0.2910694785
110	0.2905429234
111	0.2897889447
112	0.2891325
113	0.2885426788
114	0.2880207816
115	0.2875359074
116	0.28708738
117	0.2862782057
118	0.2857350465
119	0.2849231516
120	0.2843341864
121	0.2834213498
122	0.2828496989
123	0.2819840475
124	0.2814242284
125	0.2804938045
126	0.2800660003
127	0.2792633059
128	0.2786673628
129	0.2782843478
130	0.2776428805
131	0.2771862798
132	0.2767387673
133	0.2762597328
134	0.2757662273
135	0.2750616581
136	0.2745969032
137	0.2739877981
138	0.2735796433
139	0.2731900657
140	0.2725203246
141	0.2718839716
142	0.2712060411
143	0.270850524
144	0.2703217849
145	0.2698653606
146	0.2691554847
147	0.2686778503
148	0.2682013597
149	0.267592306
150	0.266573342
151	0.2658957232
152	0.2655591631
153	0.2650590932
154	0.2647472037
155	0.2644018094
156	0.2639918817
157	0.2634701609
158	0.2629233713
159	0.2622581754
160	0.2617695013
161	0.2613984771
162	0.2609129951
163	0.2604204397
164	0.2600918446
165	0.2595639192
166	0.259123784
167	0.258764086
168	0.2583977946
169	0.2580364997
170	0.2575524524
171	0.25718925
172	0.2568183125
173	0.2564283847
174	0.2559284463
175	0.2554855377
176	0.2551935911
177	0.254649167
178	0.2544445282
179	0.2541828911
180	0.2538603124
181	0.2535363504
182	0.2532972765
183	0.2529978042
184	0.2527033637
185	0.2521654545
186	0.2517841196
187	0.2514887092
188	0.2509026801
189	0.2505059257
190	0.2501429943
191	0.2496389368
192	0.249273522
193	0.2487338363
194	0.2483238719
195	0.2477611274
196	0.2473015243
197	0.247078094
198	0.2468786303
199	0.2466974455
200	0.246372609
201	0.2458683424
202	0.2456582746
203	0.2452306874
204	0.2448539905
205	0.2445226927
206	0.2442746381
207	0.2440448033
208	0.2436886792
209	0.2432713166
210	0.242818249
211	0.2425747636
212	0.242310423
213	0.2418735809
214	0.2416656917
215	0.2414651317
216	0.2410141439
217	0.2406682772
218	0.2401988146
219	0.2398756216
220	0.2397312095
221	0.2395631762
222	0.2392762509
223	0.2390205687
224	0.2387818543
225	0.2384604104
226	0.2381740224
227	0.237982099
228	0.2376869495
229	0.2373367905
230	0.2370741186
231	0.2368049196
232	0.2364953193
233	0.23617196
234	0.2359800493
235	0.2357414905
236	0.235399327
237	0.2352135774
238	0.2350112219
239	0.2346626598
240	0.2342570504
241	0.2339865365
242	0.2336875603
243	0.2333899304
244	0.2330965883
245	0.2329062289
246	0.2328152011
247	0.2324654841
248	0.2322617371
249	0.2320415527
250	0.2318262213
251	0.2313812683
252	0.2312156585
253	0.2309622875
254	0.2306846301
255	0.2304395759
256	0.230061815
257	0.2298368991
258	0.2295787302
259	0.2290663689
260	0.2288609429
261	0.2286533973
262	0.2283512102
263	0.2281425971
264	0.2278422205
265	0.2275729604
266	0.2273031932
267	0.2269784234
268	0.2267345447
269	0.2265287315
270	0.2262898358
271	0.2260449148
272	0.2259021797
273	0.2255551836
274	0.2253784783
275	0.2250290628
276	0.2248398408
277	0.224696322
278	0.2244574411
279	0.2242143003
280	0.223967532
281	0.223793567
282	0.2235721068
283	0.2232770958
284	0.2229566907
285	0.2226443664
286	0.2224358745
287	0.2222325997
288	0.2220395298
289	0.2218330001
290	0.2214562019
291	0.2211819517
292	0.2208557221
293	0.220736924
294	0.220547163
295	0.2203610072
296	0.2200873974
297	0.2198220505
298	0.2194778516
299	0.21918151
300	0.2189969663
301	0.2187601202
302	0.2186378391
303	0.218250499
304	0.2181112819
305	0.2177927947
306	0.217642819
307	0.2174161643
308	0.2172039187
309	0.2169917355
310	0.2168077478
311	0.2166824614
312	0.2165352427
313	0.2162037778
314	0.2159190525
315	0.2156061339
316	0.2153537486
317	0.2151682566
318	0.2149573207
319	0.2147122874
